,summary,config,name
0,"{'_step': 0, 'model': 'notears-np', '_runtime': 1.600327730178833, '_timestamp': 1696581550.1912646}","{'d': 20, 'n': 1000, 's0': 20, 'methods': ['notears', 'notears-np'], 'sem_type': 'mlp', 'run_count': 10, 'graph_type': 'ER'}",jumping-waterfall-57
1,"{'nnz': 7, 'shd': 13, 'fdr': 0, '_step': 3, 'fpr_normalised': 0.01764705882352941, 'shd_normalised': 18, 'tpr_normalised': 0.15, 'fpr': 0, 'fdr_normalised': 0.5, 'B_est': {'_type': 'histogram', 'bins': [0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875, 0.25, 0.28125, 0.3125, 0.34375, 0.375, 0.40625, 0.4375, 0.46875, 0.5, 0.53125, 0.5625, 0.59375, 0.625, 0.65625, 0.6875, 0.71875, 0.75, 0.78125, 0.8125, 0.84375, 0.875, 0.90625, 0.9375, 0.96875, 1], 'values': [393, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7]}, '_wandb': {'runtime': 9}, 'model': 'notears', '_runtime': 11.046263217926024, '_timestamp': 1696581545.1444333, 'tpr': 0.35, 'nnz_normalised': 6, 'B_est_normalised': {'values': [394, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6], '_type': 'histogram', 'bins': [0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875, 0.25, 0.28125, 0.3125, 0.34375, 0.375, 0.40625, 0.4375, 0.46875, 0.5, 0.53125, 0.5625, 0.59375, 0.625, 0.65625, 0.6875, 0.71875, 0.75, 0.78125, 0.8125, 0.84375, 0.875, 0.90625, 0.9375, 0.96875, 1]}}","{'d': 20, 'n': 1000, 's0': 20, 'methods': ['notears', 'notears-np'], 'sem_type': 'mlp', 'run_count': 10, 'graph_type': 'ER'}",quiet-flower-56
2,"{'nnz': 14, '_wandb': {'runtime': 8}, 'nnz_normalised': 10, 'fdr': 0.21428571428571427, 'tpr_normalised': 0.4, 'shd': 10, 'fdr_normalised': 0.2, 'fpr_normalised': 0.01176470588235294, '_step': 3, 'B_est': {'_type': 'histogram', 'bins': [0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875, 0.25, 0.28125, 0.3125, 0.34375, 0.375, 0.40625, 0.4375, 0.46875, 0.5, 0.53125, 0.5625, 0.59375, 0.625, 0.65625, 0.6875, 0.71875, 0.75, 0.78125, 0.8125, 0.84375, 0.875, 0.90625, 0.9375, 0.96875, 1], 'values': [386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14]}, 'fpr': 0.01764705882352941, 'tpr': 0.55, '_runtime': 9.931949377059937, '_timestamp': 1696581530.5032897, 'B_est_normalised': {'_type': 'histogram', 'bins': [0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875, 0.25, 0.28125, 0.3125, 0.34375, 0.375, 0.40625, 0.4375, 0.46875, 0.5, 0.53125, 0.5625, 0.59375, 0.625, 0.65625, 0.6875, 0.71875, 0.75, 0.78125, 0.8125, 0.84375, 0.875, 0.90625, 0.9375, 0.96875, 1], 'values': [390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10]}, 'model': 'notears', 'shd_normalised': 12}","{'d': 20, 'n': 1000, 's0': 20, 'methods': ['notears', 'notears-np'], 'sem_type': 'mlp', 'run_count': 10, 'graph_type': 'ER'}",lucky-sound-55
3,"{'fpr': 0.0058823529411764705, 'fdr_normalised': 0.5, '_step': 3, 'shd_normalised': 16, '_timestamp': 1696581516.3363447, 'nnz': 14, '_wandb': {'runtime': 33}, 'model': 'notears', '_runtime': 34.721059799194336, 'fpr_normalised': 0.029411764705882353, 'nnz_normalised': 10, 'tpr_normalised': 0.25, 'shd': 8, 'B_est_normalised': {'values': [390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10], '_type': 'histogram', 'bins': [0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875, 0.25, 0.28125, 0.3125, 0.34375, 0.375, 0.40625, 0.4375, 0.46875, 0.5, 0.53125, 0.5625, 0.59375, 0.625, 0.65625, 0.6875, 0.71875, 0.75, 0.78125, 0.8125, 0.84375, 0.875, 0.90625, 0.9375, 0.96875, 1]}, 'tpr': 0.65, 'B_est': {'_type': 'histogram', 'bins': [0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875, 0.25, 0.28125, 0.3125, 0.34375, 0.375, 0.40625, 0.4375, 0.46875, 0.5, 0.53125, 0.5625, 0.59375, 0.625, 0.65625, 0.6875, 0.71875, 0.75, 0.78125, 0.8125, 0.84375, 0.875, 0.90625, 0.9375, 0.96875, 1], 'values': [386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14]}, 'fdr': 0.07142857142857142}","{'d': 20, 'n': 1000, 's0': 20, 'methods': ['notears', 'notears-np'], 'sem_type': 'mlp', 'run_count': 10, 'graph_type': 'ER'}",happy-fog-54
4,"{'nnz': 12, 'tpr_normalised': 0.2, 'nnz_normalised': 9, 'fdr': 0.16666666666666666, 'model': 'notears', 'fpr': 0.01176470588235294, 'shd': 12, 'fpr_normalised': 0.029411764705882353, 'tpr': 0.5, 'B_est': {'_type': 'histogram', 'bins': [0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875, 0.25, 0.28125, 0.3125, 0.34375, 0.375, 0.40625, 0.4375, 0.46875, 0.5, 0.53125, 0.5625, 0.59375, 0.625, 0.65625, 0.6875, 0.71875, 0.75, 0.78125, 0.8125, 0.84375, 0.875, 0.90625, 0.9375, 0.96875, 1], 'values': [388, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12]}, '_runtime': 15.443180799484251, 'shd_normalised': 16, '_step': 3, '_wandb': {'runtime': 14}, '_timestamp': 1696581478.0783188, 'B_est_normalised': {'values': [391, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9], '_type': 'histogram', 'bins': [0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875, 0.25, 0.28125, 0.3125, 0.34375, 0.375, 0.40625, 0.4375, 0.46875, 0.5, 0.53125, 0.5625, 0.59375, 0.625, 0.65625, 0.6875, 0.71875, 0.75, 0.78125, 0.8125, 0.84375, 0.875, 0.90625, 0.9375, 0.96875, 1]}, 'fdr_normalised': 0.5555555555555556}","{'d': 20, 'n': 1000, 's0': 20, 'methods': ['notears', 'notears-np'], 'sem_type': 'mlp', 'run_count': 10, 'graph_type': 'ER'}",sweet-river-53
5,"{'_step': 3, '_runtime': 8.829771041870117, 'model': 'notears', '_wandb': {'runtime': 7}, 'shd_normalised': 21, 'tpr': 0.55, 'fdr_normalised': 0.8333333333333334, 'tpr_normalised': 0.1, 'B_est': {'bins': [0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875, 0.25, 0.28125, 0.3125, 0.34375, 0.375, 0.40625, 0.4375, 0.46875, 0.5, 0.53125, 0.5625, 0.59375, 0.625, 0.65625, 0.6875, 0.71875, 0.75, 0.78125, 0.8125, 0.84375, 0.875, 0.90625, 0.9375, 0.96875, 1], 'values': [388, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12], '_type': 'histogram'}, 'fpr_normalised': 0.058823529411764705, 'nnz_normalised': 12, '_timestamp': 1696581459.469156, 'shd': 10, 'nnz': 12, 'fpr': 0.0058823529411764705, 'fdr': 0.08333333333333333, 'B_est_normalised': {'_type': 'histogram', 'bins': [0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875, 0.25, 0.28125, 0.3125, 0.34375, 0.375, 0.40625, 0.4375, 0.46875, 0.5, 0.53125, 0.5625, 0.59375, 0.625, 0.65625, 0.6875, 0.71875, 0.75, 0.78125, 0.8125, 0.84375, 0.875, 0.90625, 0.9375, 0.96875, 1], 'values': [388, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12]}}","{'d': 20, 'n': 1000, 's0': 20, 'methods': ['notears', 'notears-np'], 'sem_type': 'mlp', 'run_count': 10, 'graph_type': 'ER'}",eager-vortex-52
6,"{'fpr_normalised': 0.04705882352941176, 'fdr': 0.2, 'shd_normalised': 16, 'tpr': 0.6, 'fpr': 0.01764705882352941, 'model': 'notears', 'B_est_normalised': {'_type': 'histogram', 'bins': [0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875, 0.25, 0.28125, 0.3125, 0.34375, 0.375, 0.40625, 0.4375, 0.46875, 0.5, 0.53125, 0.5625, 0.59375, 0.625, 0.65625, 0.6875, 0.71875, 0.75, 0.78125, 0.8125, 0.84375, 0.875, 0.90625, 0.9375, 0.96875, 1], 'values': [385, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15]}, '_step': 3, '_runtime': 40.63582921028137, 'nnz_normalised': 15, 'nnz': 15, 'shd': 11, 'B_est': {'_type': 'histogram', 'bins': [0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875, 0.25, 0.28125, 0.3125, 0.34375, 0.375, 0.40625, 0.4375, 0.46875, 0.5, 0.53125, 0.5625, 0.59375, 0.625, 0.65625, 0.6875, 0.71875, 0.75, 0.78125, 0.8125, 0.84375, 0.875, 0.90625, 0.9375, 0.96875, 1], 'values': [385, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15]}, '_timestamp': 1696581447.4204583, '_wandb': {'runtime': 39}, 'fdr_normalised': 0.5333333333333333, 'tpr_normalised': 0.35}","{'d': 20, 'n': 1000, 's0': 20, 'methods': ['notears', 'notears-np'], 'sem_type': 'mlp', 'run_count': 10, 'graph_type': 'ER'}",crisp-microwave-51
7,"{'shd': 10, '_timestamp': 1696581403.9036152, '_runtime': 22.31455135345459, 'model': 'notears', 'fpr_normalised': 0.041176470588235294, 'tpr_normalised': 0.4, 'shd_normalised': 16, '_wandb': {'runtime': 19}, 'nnz_normalised': 15, 'nnz': 14, 'tpr': 0.6, 'B_est': {'_type': 'histogram', 'bins': [0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875, 0.25, 0.28125, 0.3125, 0.34375, 0.375, 0.40625, 0.4375, 0.46875, 0.5, 0.53125, 0.5625, 0.59375, 0.625, 0.65625, 0.6875, 0.71875, 0.75, 0.78125, 0.8125, 0.84375, 0.875, 0.90625, 0.9375, 0.96875, 1], 'values': [386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14]}, '_step': 3, 'fdr_normalised': 0.4666666666666667, 'B_est_normalised': {'_type': 'histogram', 'values': [385, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15], 'bins': [0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875, 0.25, 0.28125, 0.3125, 0.34375, 0.375, 0.40625, 0.4375, 0.46875, 0.5, 0.53125, 0.5625, 0.59375, 0.625, 0.65625, 0.6875, 0.71875, 0.75, 0.78125, 0.8125, 0.84375, 0.875, 0.90625, 0.9375, 0.96875, 1]}, 'fdr': 0.14285714285714285, 'fpr': 0.01176470588235294}","{'d': 20, 'n': 1000, 's0': 20, 'methods': ['notears', 'notears-np'], 'sem_type': 'mlp', 'run_count': 10, 'graph_type': 'ER'}",light-wood-50
8,"{'B_est': {'_type': 'histogram', 'bins': [0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875, 0.25, 0.28125, 0.3125, 0.34375, 0.375, 0.40625, 0.4375, 0.46875, 0.5, 0.53125, 0.5625, 0.59375, 0.625, 0.65625, 0.6875, 0.71875, 0.75, 0.78125, 0.8125, 0.84375, 0.875, 0.90625, 0.9375, 0.96875, 1], 'values': [391, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9]}, '_timestamp': 1696581378.1219363, 'tpr_normalised': 0.25, 'nnz': 9, '_step': 3, 'shd_normalised': 17, 'shd': 18, 'fdr_normalised': 0.5, '_runtime': 12.610412359237673, 'fpr_normalised': 0.029411764705882353, 'fdr': 0.4444444444444444, 'model': 'notears', 'tpr': 0.25, 'nnz_normalised': 10, '_wandb': {'runtime': 11}, 'B_est_normalised': {'bins': [0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875, 0.25, 0.28125, 0.3125, 0.34375, 0.375, 0.40625, 0.4375, 0.46875, 0.5, 0.53125, 0.5625, 0.59375, 0.625, 0.65625, 0.6875, 0.71875, 0.75, 0.78125, 0.8125, 0.84375, 0.875, 0.90625, 0.9375, 0.96875, 1], 'values': [390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10], '_type': 'histogram'}, 'fpr': 0.02352941176470588}","{'d': 20, 'n': 1000, 's0': 20, 'methods': ['notears', 'notears-np'], 'sem_type': 'mlp', 'run_count': 10, 'graph_type': 'ER'}",charmed-pond-49
9,"{'B_est_normalised': {'_type': 'histogram', 'bins': [0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875, 0.25, 0.28125, 0.3125, 0.34375, 0.375, 0.40625, 0.4375, 0.46875, 0.5, 0.53125, 0.5625, 0.59375, 0.625, 0.65625, 0.6875, 0.71875, 0.75, 0.78125, 0.8125, 0.84375, 0.875, 0.90625, 0.9375, 0.96875, 1], 'values': [396, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4]}, '_runtime': 8.130855321884155, '_wandb': {'runtime': 6}, 'model': 'notears', 'nnz_normalised': 4, 'fpr': 0, 'shd': 15, '_timestamp': 1696581360.8495972, 'shd_normalised': 19, 'tpr': 0.25, 'fdr_normalised': 0.75, 'fdr': 0, 'nnz': 5, 'tpr_normalised': 0.05, '_step': 3, 'B_est': {'_type': 'histogram', 'bins': [0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875, 0.25, 0.28125, 0.3125, 0.34375, 0.375, 0.40625, 0.4375, 0.46875, 0.5, 0.53125, 0.5625, 0.59375, 0.625, 0.65625, 0.6875, 0.71875, 0.75, 0.78125, 0.8125, 0.84375, 0.875, 0.90625, 0.9375, 0.96875, 1], 'values': [395, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5]}, 'fpr_normalised': 0.01764705882352941}","{'d': 20, 'n': 1000, 's0': 20, 'methods': ['notears', 'notears-np'], 'sem_type': 'mlp', 'run_count': 10, 'graph_type': 'ER'}",ruby-durian-48
10,"{'fpr': 0, 'shd': 13, 'tpr': 0.35, '_wandb': {'runtime': 5}, 'nnz': 7, '_runtime': 6.840217351913452, 'nnz_normalised': 5, 'model': 'notears', 'B_est': {'_type': 'histogram', 'bins': [0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875, 0.25, 0.28125, 0.3125, 0.34375, 0.375, 0.40625, 0.4375, 0.46875, 0.5, 0.53125, 0.5625, 0.59375, 0.625, 0.65625, 0.6875, 0.71875, 0.75, 0.78125, 0.8125, 0.84375, 0.875, 0.90625, 0.9375, 0.96875, 1], 'values': [393, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7]}, 'fdr_normalised': 0.2, 'shd_normalised': 16, 'fpr_normalised': 0.0058823529411764705, 'fdr': 0, '_step': 3, '_timestamp': 1696581348.9446282, 'tpr_normalised': 0.2, 'B_est_normalised': {'_type': 'histogram', 'values': [395, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5], 'bins': [0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875, 0.25, 0.28125, 0.3125, 0.34375, 0.375, 0.40625, 0.4375, 0.46875, 0.5, 0.53125, 0.5625, 0.59375, 0.625, 0.65625, 0.6875, 0.71875, 0.75, 0.78125, 0.8125, 0.84375, 0.875, 0.90625, 0.9375, 0.96875, 1]}}","{'d': 20, 'n': 1000, 's0': 20, 'methods': ['notears', 'notears-np'], 'sem_type': 'mlp', 'run_count': 10, 'graph_type': 'ER'}",amber-blaze-47
11,"{'_runtime': 1.369478464126587, '_timestamp': 1696556307.7774055, '_step': 0, 'model': 'notears-np'}","{'d': 30, 'n': 1000, 's0': 20, 'methods': ['notears-np'], 'sem_type': 'gauss', 'run_count': 10, 'graph_type': 'ER'}",sage-dragon-46
